대지위치,위도,경도
경상북도 영천시 조교동 702-6번지,35.97672377,128.95504082
경상북도 영천시 조교동 702-7번지,35.97671693,128.95474189
경상북도 영천시 조교동 702-11번지,35.97664586,128.954027
경상북도 영천시 조교동 703-1번지,35.97635652,128.955266
경상북도 영천시 조교동 711번지,35.97418098,128.95280947
경상북도 영천시 조교동 712번지,35.97329439,128.95250617
경상북도 영천시 조교동 712-2번지,35.9730638,128.95243498
경상북도 영천시 조교동 713-1번지,35.97292352,128.95215107
경상북도 영천시 조교동 725-1번지,35.97209051,128.95259756
경상북도 영천시 조교동 725-3번지,35.97199766,128.95244507
경상북도 영천시 조교동 725-4번지,35.97187918,128.95232233
경상북도 영천시 조교동 725-5번지,35.97176253,128.95219818
경상북도 영천시 조교동 725-6번지,35.97166186,128.95204473
경상북도 영천시 조교동 725-8번지,35.97157541,128.9521632
경상북도 영천시 조교동 727번지,35.97114238,128.95174073
경상북도 영천시 조교동 731번지,35.97122791,128.95113029
경상북도 영천시 조교동 731-2번지,35.97165631,128.95172102
경상북도 영천시 조교동 731-4번지,35.97145335,128.95131907
경상북도 영천시 조교동 731-6번지,35.97211958,128.95217339
경상북도 영천시 조교동 731-7번지,35.97227957,128.95227588
경상북도 영천시 조교동 731-9번지,35.97187044,128.95192959
경상북도 영천시 조교동 731-10번지,35.97192708,128.95172148
경상북도 영천시 조교동 733-2번지,35.97240381,128.95190005
경상북도 영천시 조교동 733-8번지,35.97216934,128.95187909
경상북도 영천시 조교동 734번지,35.97175639,128.95150123
경상북도 영천시 조교동 734-6번지,35.97159205,128.95137292
경상북도 영천시 조교동 734-10번지,35.97195237,128.95153521
경상북도 영천시 조교동 738-1번지,35.97075972,128.94984434
경상북도 영천시 조교동 738-11번지,35.97072274,128.95014538
경상북도 영천시 조교동 739번지,35.97002848,128.95104246
경상북도 영천시 조교동 739-1번지,35.97020032,128.95068166
경상북도 영천시 조교동 742번지,35.97107739,128.95093914
경상북도 영천시 조교동 742-4번지,35.97095554,128.95090732
경상북도 영천시 조교동 743번지,35.97066836,128.9509406
경상북도 영천시 조교동 743-2번지,35.9702852,128.95129707
경상북도 영천시 조교동 748-3번지,35.9699116,128.95243836
경상북도 영천시 조교동 749-2번지,35.97004761,128.95314459
경상북도 영천시 조교동 751-1번지,35.97142491,128.95356462
경상북도 영천시 조교동 751-9번지,35.97101373,128.95326705
경상북도 영천시 조교동 754-1번지,35.97073842,128.9535957
경상북도 영천시 조교동 754-2번지,35.97068217,128.95340321
경상북도 영천시 조교동 758-3번지,35.97061408,128.95254911
경상북도 영천시 조교동 759번지,35.97058924,128.95307857
경상북도 영천시 조교동 760-1번지,35.97048907,128.95272239
경상북도 영천시 조교동 760-2번지,35.97039291,128.9524358
경상북도 영천시 조교동 776-1번지,35.97178829,128.9587762
경상북도 영천시 조교동 776-2번지,35.97158344,128.95805538
경상북도 영천시 조교동 786-4번지,35.96995109,128.9590027
경상북도 영천시 조교동 797-3번지,35.97129346,128.95707917
경상북도 영천시 조교동 807-3번지,35.97253904,128.95598413
경상북도 영천시 조교동 825-3번지,35.97082712,128.95536858
경상북도 영천시 조교동 827-1번지,35.9706232,128.95613161
경상북도 영천시 조교동 827-4번지,35.97044122,128.95613499
경상북도 영천시 조교동 831-3번지,35.9699008,128.95717093
경상북도 영천시 조교동 831-4번지,35.97114703,128.95513482
경상북도 영천시 조교동 831-42번지,35.97214636,128.95525912
경상북도 영천시 조교동 831-46번지,35.97106408,128.95493335
경상북도 영천시 조교동 832-1번지,35.97032912,128.95179852
경상북도 영천시 조교동 838번지,35.96971095,128.95439031
경상북도 영천시 조교동 838-1번지,35.96971248,128.95257024
경상북도 영천시 조교동 838-5번지,35.96963823,128.95285816
경상북도 영천시 조교동 838-6번지,35.96954057,128.95319473
경상북도 영천시 조교동 849-1번지,35.96821239,128.95562253
경상북도 영천시 조교동 849-4번지,35.96790754,128.95574525
경상북도 영천시 조교동 858번지,35.96896263,128.95422898
경상북도 영천시 조교동 860-4번지,35.96907952,128.95481934
경상북도 영천시 조교동 872번지,35.96928945,128.95857666
경상북도 영천시 조교동 877번지,,
경상북도 영천시 조교동 877-8번지,,
경상북도 영천시 조교동 877-11번지,35.9690547,128.95847343
경상북도 영천시 조교동 877-13번지,35.9689657,128.95836116
경상북도 영천시 조교동 883번지,,
경상북도 영천시 조교동 883-2번지,35.97227809,128.96615242
경상북도 영천시 조교동 883-12번지,35.97018462,128.96532289
경상북도 영천시 조교동 883-13번지,35.97059155,128.96503114
경상북도 영천시 조교동 883-14번지,35.97037182,128.96489612
경상북도 영천시 조교동 883-18번지,35.96998544,128.96449458
경상북도 영천시 조교동 883-19번지,35.96996608,128.96478552
경상북도 영천시 조교동 883-22번지,35.96956703,128.96473362
경상북도 영천시 조교동 883-29번지,35.96932876,128.96114561
경상북도 영천시 조교동 883-36번지,35.96857492,128.95874068
경상북도 영천시 조교동 883-38번지,35.96833025,128.95923366
경상북도 영천시 조교동 883-41번지,35.96815574,128.9596898
경상북도 영천시 조교동 883-42번지,35.96804019,128.95949884
경상북도 영천시 조교동 883-44번지,35.96804593,128.95927984
경상북도 영천시 조교동 883-50번지,35.96847651,128.96068303
경상북도 영천시 조교동 883-59번지,35.96854537,128.95823871
경상북도 영천시 조교동 883-61번지,35.9683471,128.9580476
경상북도 영천시 조교동 883-68번지,35.96835641,128.95778579
경상북도 영천시 조교동 883-73번지,35.96809143,128.95786182
경상북도 영천시 조교동 883-75번지,35.96929064,128.96389398
경상북도 영천시 조교동 883-78번지,35.97863213,128.96490182
경상북도 영천시 조교동 883-89번지,35.9692481,128.96588549
경상북도 영천시 조교동 883-95번지,35.96946653,128.96435613
경상북도 영천시 조교동 883-171번지,35.96841364,128.96028454
경상북도 영천시 조교동 883-219번지,35.97008243,128.96596649
경상북도 영천시 조교동 883-225번지,35.97149519,128.96611116
경상북도 영천시 조교동 914번지,35.97896314,128.96696038
경상북도 영천시 조교동 915번지,35.97903597,128.96639813
경상북도 영천시 망정동 8-3번지,35.9874107,128.95830328
경상북도 영천시 망정동 8-4번지,35.98679124,128.95840095
경상북도 영천시 망정동 8-7번지,35.98618775,128.95849734
경상북도 영천시 망정동 8-8번지,35.98563674,128.95858572
경상북도 영천시 망정동 8-9번지,35.98515123,128.95866374
경상북도 영천시 망정동 8-10번지,35.98466969,128.95874197
경상북도 영천시 망정동 8-11번지,35.98589237,128.95958476
경상북도 영천시 망정동 8-12번지,35.98510008,128.9598369
경상북도 영천시 망정동 8-13번지,35.98475425,128.9598809
경상북도 영천시 망정동 8-15번지,35.98422158,128.95881371
경상북도 영천시 망정동 8-16번지,35.98401175,128.96024014
경상북도 영천시 망정동 8-25번지,35.98289269,128.95782553
경상북도 영천시 망정동 8-32번지,35.98784655,128.95914748
경상북도 영천시 망정동 8-39번지,35.98694433,128.95938871
경상북도 영천시 망정동 11-4번지,35.98360627,128.95999796
경상북도 영천시 망정동 11-7번지,35.98370667,128.95889876
경상북도 영천시 망정동 11-8번지,35.98329639,128.95896633
경상북도 영천시 망정동 11-9번지,35.9827377,128.95885773
경상북도 영천시 망정동 24번지,35.98367064,128.95747945
경상북도 영천시 망정동 28-4번지,35.98191447,128.9580416
경상북도 영천시 망정동 68-2번지,35.9809036,128.95372358
경상북도 영천시 망정동 69-4번지,35.98062477,128.95396902
경상북도 영천시 망정동 101번지,35.97776142,128.95405284
경상북도 영천시 망정동 102번지,35.97292137,128.95150841
경상북도 영천시 망정동 103번지,35.97294897,128.95133483
경상북도 영천시 망정동 104-4번지,35.9730946,128.95101828
경상북도 영천시 망정동 104-5번지,35.9730514,128.95125288
경상북도 영천시 망정동 116번지,35.97215342,128.95005975
경상북도 영천시 망정동 117번지,35.97182952,128.94947026
경상북도 영천시 망정동 122번지,,
경상북도 영천시 망정동 129번지,35.97375417,128.94939522
경상북도 영천시 망정동 130번지,35.97390331,128.94864587
경상북도 영천시 망정동 131번지,35.97270324,128.94902951
경상북도 영천시 망정동 133-1번지,35.97349545,128.95055525
경상북도 영천시 망정동 133-2번지,35.97339783,128.95062346
경상북도 영천시 망정동 133-3번지,35.97337024,128.95050838
경상북도 영천시 망정동 133-4번지,35.97333008,128.95054541
경상북도 영천시 망정동 134번지,35.97351722,128.95070699
경상북도 영천시 망정동 134-1번지,35.97334549,128.95082769
경상북도 영천시 망정동 134-4번지,35.97325719,128.95116561
경상북도 영천시 망정동 134-6번지,35.97356185,128.95094331
경상북도 영천시 망정동 135-3번지,35.97332972,128.95146492
경상북도 영천시 망정동 135-4번지,35.97314798,128.95158094
경상북도 영천시 망정동 135-5번지,35.97362119,128.95127279
경상북도 영천시 망정동 135-6번지,35.97343367,128.95126728
경상북도 영천시 망정동 136번지,35.97364213,128.95145876
경상북도 영천시 망정동 136-1번지,35.97336998,128.9516987
경상북도 영천시 망정동 137번지,35.97350689,128.9518954
경상북도 영천시 망정동 138번지,35.97477242,128.95253427
경상북도 영천시 망정동 138-3번지,35.97425878,128.95226477
경상북도 영천시 망정동 139번지,35.97497481,128.95334738
경상북도 영천시 망정동 140-2번지,35.97533274,128.95254342
경상북도 영천시 망정동 145-7번지,35.97391545,128.95163443
경상북도 영천시 망정동 146번지,35.97416377,128.95139179
경상북도 영천시 망정동 146-1번지,35.97474486,128.95148669
경상북도 영천시 망정동 146-2번지,35.97475293,128.95162789
경상북도 영천시 망정동 146-4번지,35.97446827,128.95156202
경상북도 영천시 망정동 146-5번지,35.97448229,128.95145317
경상북도 영천시 망정동 146-7번지,35.97433882,128.95149864
경상북도 영천시 망정동 146-8번지,35.97389457,128.95129526
경상북도 영천시 망정동 146-10번지,35.97406262,128.95153352
경상북도 영천시 망정동 146-11번지,35.97391935,128.9514892
경상북도 영천시 망정동 146-12번지,35.9740083,128.95131679
경상북도 영천시 망정동 147번지,35.97379112,128.95145633
경상북도 영천시 망정동 148번지,35.97432899,128.95082352
경상북도 영천시 망정동 148-2번지,35.97428286,128.9509839
경상북도 영천시 망정동 148-3번지,35.97424081,128.95088243
경상북도 영천시 망정동 148-4번지,35.97414884,128.95093581
경상북도 영천시 망정동 148-6번지,35.97420006,128.95106633
경상북도 영천시 망정동 148-7번지,35.97410268,128.95113676
경상북도 영천시 망정동 148-8번지,35.97404113,128.95100976
경상북도 영천시 망정동 148-9번지,35.97395148,128.9510652
경상북도 영천시 망정동 148-10번지,35.97399924,128.95118111
경상북도 영천시 망정동 148-12번지,35.97386236,128.95112076
경상북도 영천시 망정동 148-13번지,35.97381938,128.95120905
경상북도 영천시 망정동 148-15번지,35.97387574,128.95092377
경상북도 영천시 망정동 148-16번지,35.97375123,128.95097258
경상북도 영천시 망정동 149번지,35.97477004,128.95105797
경상북도 영천시 망정동 149-1번지,35.97437552,128.95105391
경상북도 영천시 망정동 149-3번지,35.97467749,128.9510752
경상북도 영천시 망정동 149-4번지,35.97459805,128.95108987
경상북도 영천시 망정동 149-8번지,35.97462601,128.95078904
경상북도 영천시 망정동 149-9번지,35.97453441,128.95081383
경상북도 영천시 망정동 149-10번지,35.97451926,128.95068753
경상북도 영천시 망정동 149-12번지,35.97439711,128.95118392
경상북도 영천시 망정동 149-15번지,35.97416857,128.95122973
경상북도 영천시 망정동 151-2번지,35.97473569,128.95127484
경상북도 영천시 망정동 151-3번지,35.97473907,128.9514054
경상북도 영천시 망정동 151-6번지,35.97460961,128.9515645
경상북도 영천시 망정동 151-7번지,35.9745962,128.9514307
경상북도 영천시 망정동 151-8번지,35.97458838,128.95129106
경상북도 영천시 망정동 151-9번지,35.97445971,128.9513462
경상북도 영천시 망정동 152번지,35.97500475,128.95126384
경상북도 영천시 망정동 152-3번지,35.97503939,128.95141135
경상북도 영천시 망정동 152-5번지,35.97487719,128.95127877
경상북도 영천시 망정동 152-6번지,35.97490416,128.95142642
경상북도 영천시 망정동 153-3번지,35.97528253,128.9505233
경상북도 영천시 망정동 153-4번지,35.97517956,128.9505436
경상북도 영천시 망정동 153-5번지,35.97507534,128.95056376
경상북도 영천시 망정동 153-6번지,35.97541455,128.95061667
경상북도 영천시 망정동 153-7번지,35.97530727,128.95064718
경상북도 영천시 망정동 153-8번지,35.97520289,128.95067698
경상북도 영천시 망정동 153-9번지,35.97509824,128.95070699
경상북도 영천시 망정동 153-10번지,35.97555106,128.95076071
경상북도 영천시 망정동 153-11번지,35.97544958,128.95078936
경상북도 영천시 망정동 153-12번지,35.97534079,128.95081927
경상북도 영천시 망정동 153-13번지,35.97523579,128.95084806
경상북도 영천시 망정동 153-14번지,35.9751318,128.95087654
경상북도 영천시 망정동 153-15번지,35.9752612,128.95097572
경상북도 영천시 망정동 153-16번지,35.97516914,128.95100139
경상북도 영천시 망정동 153-17번지,35.97499108,128.95102993
경상북도 영천시 망정동 153-18번지,35.97488735,128.95104767
경상북도 영천시 망정동 153-19번지,35.97496374,128.9508826
경상북도 영천시 망정동 153-20번지,35.97486168,128.95090847
경상북도 영천시 망정동 153-21번지,35.97475434,128.95092611
경상북도 영천시 망정동 153-22번지,35.9749294,128.95069496
경상북도 영천시 망정동 153-23번지,35.97482835,128.95072463
경상북도 영천시 망정동 153-24번지,35.97472512,128.95076188
경상북도 영천시 망정동 153-25번지,35.97490163,128.95053521
경상북도 영천시 망정동 153-26번지,35.97480494,128.95054646
경상북도 영천시 망정동 153-27번지,35.97470345,128.95063708
경상북도 영천시 망정동 153-28번지,35.9746034,128.95066654
경상북도 영천시 망정동 153-29번지,35.97470461,128.95048269
경상북도 영천시 망정동 153-30번지,35.97449028,128.95051921
경상북도 영천시 망정동 153-32번지,35.97548891,128.95044911
경상북도 영천시 망정동 153-34번지,35.9754536,128.95087482
경상북도 영천시 망정동 156-1번지,35.97431242,128.95052403
경상북도 영천시 망정동 156-2번지,35.97420911,128.95051561
경상북도 영천시 망정동 156-3번지,35.97410756,128.95051566
경상북도 영천시 망정동 156-4번지,35.97400462,128.95051812
경상북도 영천시 망정동 156-5번지,35.97390001,128.95052308
경상북도 영천시 망정동 156-6번지,35.97375055,128.95062094
경상북도 영천시 망정동 156-7번지,35.97374113,128.95079032
경상북도 영천시 망정동 156-8번지,35.9738704,128.95080381
경상북도 영천시 망정동 156-9번지,35.97396053,128.95077421
경상북도 영천시 망정동 156-10번지,35.97409646,128.95074929
경상북도 영천시 망정동 156-11번지,35.97416591,128.95072317
경상북도 영천시 망정동 156-13번지,35.97432768,128.9506326
경상북도 영천시 망정동 157-1번지,35.97374765,128.95049461
경상북도 영천시 망정동 159번지,35.97427353,128.95021678
경상북도 영천시 망정동 159-1번지,35.97429629,128.95038008
경상북도 영천시 망정동 159-7번지,35.9741008,128.95029966
경상북도 영천시 망정동 160번지,35.9745721,128.95013645
경상북도 영천시 망정동 160-1번지,35.97471015,128.95036898
경상북도 영천시 망정동 160-4번지,35.97447484,128.95006643
경상북도 영천시 망정동 160-5번지,35.97447793,128.9502033
경상북도 영천시 망정동 160-6번지,35.97448219,128.9503463
경상북도 영천시 망정동 163-2번지,35.97488643,128.94941908
경상북도 영천시 망정동 163-9번지,35.97476041,128.94994919
경상북도 영천시 망정동 163-11번지,35.97456778,128.94998647
경상북도 영천시 망정동 163-12번지,35.97490221,128.94961247
경상북도 영천시 망정동 165번지,35.97493329,128.94924143
경상북도 영천시 망정동 166-1번지,35.97458519,128.94836078
경상북도 영천시 망정동 166-2번지,35.97444251,128.9483576
경상북도 영천시 망정동 166-7번지,35.97455402,128.94855977
경상북도 영천시 망정동 167번지,35.97480479,128.9483715
경상북도 영천시 망정동 167-2번지,35.97493169,128.94857504
경상북도 영천시 망정동 167-5번지,35.97478632,128.94870372
경상북도 영천시 망정동 169-1번지,35.97558387,128.94832614
경상북도 영천시 망정동 169-2번지,35.97536143,128.94829617
경상북도 영천시 망정동 169-6번지,35.9756565,128.94809878
경상북도 영천시 망정동 170-7번지,35.9752142,128.94902785
경상북도 영천시 망정동 171-1번지,35.97511975,128.94884084
경상북도 영천시 망정동 172번지,35.97492726,128.94881981
경상북도 영천시 망정동 173-1번지,35.97563942,128.94971519
경상북도 영천시 망정동 173-9번지,35.97570855,128.95020188
경상북도 영천시 망정동 173-10번지,35.97566416,128.94985658
경상북도 영천시 망정동 175-4번지,35.97563798,128.94875614
경상북도 영천시 망정동 175-5번지,35.97560328,128.94854023
경상북도 영천시 망정동 175-12번지,35.97560882,128.94945792
경상북도 영천시 망정동 175-13번지,35.97560351,128.94929682
경상북도 영천시 망정동 175-15번지,35.97551067,128.94861699
경상북도 영천시 망정동 175-17번지,35.97552768,128.94879001
경상북도 영천시 망정동 176-4번지,35.97586173,128.94954284
경상북도 영천시 망정동 177-1번지,35.97630056,128.9495645
경상북도 영천시 망정동 177-3번지,35.97615513,128.95006299
경상북도 영천시 망정동 179-1번지,35.97623224,128.94871721
