대지위치,사용승인일,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인일(년도),위도,경도,건물연차점수,지상층수_점수,지하층수_점수,비상용승강기_점수,주용도_점수,구조코드_점수,소화전거리,소방서거리,소화전거리_점수,소방관서거리_점수,total_score
경상북도 영천시 신녕면 완전리 852-65번지,19970805,1,0,0,벽돌구조,벽돌조,단독주택,0,1997,36.03819126,128.7895374,3,0,0,5,2,4,62.03667766,1161.559102,3,2,19
경상북도 영천시 신녕면 완전리 852-66번지,1925,1,0,0,일반목구조,목조,단독주택,0,1925,36.03806327,128.7895638,5,0,0,5,2,5,49.61595494,1171.49282,2,2,21
경상북도 영천시 신녕면 완전리 852-67번지,1905,1,0,0,일반목구조,목조,단독주택,0,1905,36.0381001,128.7893783,5,0,0,5,2,5,64.80085653,1155.426531,3,2,22
경상북도 영천시 신녕면 완전리 852-68번지,1905,1,0,0,일반목구조,토담,단독주택,0,1905,36.03796954,128.7894324,5,0,0,5,2,5,52.74241154,1167.708173,2,2,21
경상북도 영천시 신녕면 완전리 852-69번지,1965,1,0,0,블록구조,시멘트블록,창고시설,0,1965,36.03779613,128.7893565,5,0,0,5,8,4,49.62545738,1173.358253,2,2,26
경상북도 영천시 신녕면 완전리 852-69번지,1965,1,0,0,일반목구조,목조,단독주택,0,1965,36.03779613,128.7893565,5,0,0,5,2,5,49.62545738,1173.358253,2,2,21
경상북도 영천시 신녕면 완전리 852-70번지,1926,1,0,0,일반목구조,목조,단독주택,0,1926,36.03779158,128.7895347,5,0,0,5,2,5,37.51707091,1186.649969,2,2,21
경상북도 영천시 신녕면 완전리 852-72번지,1920,1,0,0,일반목구조,목조,단독주택,0,1920,36.03763883,128.7892817,5,0,0,5,2,5,42.15344935,1178.341726,2,2,21
경상북도 영천시 신녕면 완전리 852-73번지,1925,1,0,0,일반목구조,"목조, 시멘트블록",단독주택,0,1925,36.03760719,128.7891558,5,0,0,5,2,5,31.93591718,1171.442442,2,2,21
경상북도 영천시 신녕면 완전리 852-73번지,19921120,1,0,0,기타조적구조,조적조,단독주택,0,1992,36.03760719,128.7891558,4,0,0,5,2,4,31.93591718,1171.442442,2,2,19
경상북도 영천시 신녕면 완전리 852-75번지,19950616,2,0,0,벽돌구조,시멘트벽돌조,단독주택,0,1995,36.03771409,128.7890026,3,1,0,5,2,4,16.67225119,1153.277968,1,2,18
경상북도 영천시 신녕면 완전리 852-77번지,20040527,1,0,0,벽돌구조,조적(시멘트벽돌)조,단독주택,0,2004,36.0378491,128.788977,3,0,0,5,2,4,22.13727677,1142.398831,1,2,17
경상북도 영천시 신녕면 완전리 852-78번지,1905,1,0,0,일반목구조,"목조, 시멘트블록",단독주택,0,1905,36.03777997,128.789183,5,0,0,5,2,5,34.06491795,1161.848758,2,2,21
경상북도 영천시 신녕면 완전리 852-79번지,19930302,1,0,0,기타조적구조,조적조,단독주택,0,1993,36.03792829,128.7891347,4,0,0,5,2,4,38.35546667,1148.586733,2,2,19
경상북도 영천시 신녕면 완전리 852-79번지,1905,1,0,0,일반목구조,목조,단독주택,0,1905,36.03792829,128.7891347,5,0,0,5,2,5,38.35546667,1148.586733,2,2,21
경상북도 영천시 신녕면 완전리 852-80번지,19930809,1,0,0,벽돌구조,"벽돌조, 파이프조",창고시설,0,1993,36.03805116,128.7892103,4,0,0,5,8,4,52.85486235,1146.150186,2,2,25
경상북도 영천시 신녕면 완전리 852-81번지,20051226,1,0,0,강파이프구조,파이프조,창고시설,0,2005,36.0380741,128.7890619,2,0,0,5,8,2,47.31846841,1133.797542,2,2,21
경상북도 영천시 신녕면 완전리 852-83번지,19980918,2,0,6.8,철근콘크리트구조,"철근콘크리트조, 시멘트벽돌조",제1종근린생활시설,0,1998,36.03794837,128.78887,3,1,0,5,6,0,28.35092592,1128.085972,1,2,18
경상북도 영천시 신녕면 완전리 852-84번지,1905,1,0,0,일반목구조,목조,단독주택,0,1905,36.03812908,128.7888919,5,0,0,5,2,5,48.51561969,1117.81686,2,2,21
경상북도 영천시 신녕면 완전리 852-85번지,20100211,1,0,4.9,일반철골구조,일반철골구조,단독주택,0,2010,36.03828684,128.7888327,2,0,0,5,2,2,65.61762317,1103.304554,3,2,16
경상북도 영천시 신녕면 완전리 852-86번지,20060628,1,0,0,벽돌구조,벽돌구조,단독주택,0,2006,36.03829053,128.7889778,2,0,0,5,2,4,67.55325401,1113.761691,3,2,18
경상북도 영천시 신녕면 완전리 852-88번지,20040716,1,0,0,벽돌구조,조적조,단독주택,0,2004,36.03830737,128.7892262,3,0,0,5,2,4,77.15522665,1131.130894,3,2,19
경상북도 영천시 신녕면 완전리 852-88번지,20040716,1,0,0,블록구조,블록조,단독주택,0,2004,36.03830737,128.7892262,3,0,0,5,2,4,77.15522665,1131.130894,3,2,19
경상북도 영천시 신녕면 완전리 852-90번지,1875,1,0,0,일반목구조,"시멘트블록, 목조",단독주택,0,1875,36.03844019,128.7896486,5,0,0,5,2,5,77.57473467,1154.833072,3,2,22
경상북도 영천시 신녕면 완전리 852-91번지,20090925,1,0,4.5,경량철골구조,경량철골구조,단독주택,0,2009,36.0385477,128.7896605,2,0,0,5,2,2,70.55836526,1149.383763,3,2,16
경상북도 영천시 신녕면 완전리 852-93번지,1875,1,0,0,일반목구조,목조,단독주택,0,1875,36.03872277,128.7895947,5,0,0,5,2,5,59.02230412,1134.165439,2,2,21
경상북도 영천시 신녕면 완전리 852-94번지,1875,1,0,0,일반목구조,목조,단독주택,0,1875,36.03846173,128.7895099,5,0,0,5,2,5,86.02767498,1143.023168,3,2,22
경상북도 영천시 신녕면 완전리 852-95번지,1970,1,0,0,블록구조,시멘트블록,단독주택,0,1970,36.03847947,128.7893895,5,0,0,5,2,4,91.3040539,1132.846625,4,2,22
경상북도 영천시 신녕면 완전리 852-96번지,20131120,1,0,5.35,철근콘크리트구조,철근콘크리트구조,단독주택,0,2013,36.03875146,128.7894113,2,0,0,5,2,0,70.10142859,1118.417878,3,2,14
경상북도 영천시 신녕면 완전리 852-97번지,19790905,1,0,0,벽돌구조,시멘트벽돌,단독주택,0,1979,36.03884035,128.7894749,5,0,0,5,2,4,60.2105287,1118.195287,3,2,21
경상북도 영천시 신녕면 완전리 852-97번지,20170609,1,0,3.9,강파이프구조,파이프조,단독주택,0,2017,36.03884035,128.7894749,1,0,0,5,2,2,60.2105287,1118.195287,3,2,15
경상북도 영천시 신녕면 완전리 852-99번지,1875,1,0,0,일반목구조,목조,단독주택,0,1875,36.03887138,128.7891769,5,0,0,5,2,5,83.84185957,1093.482328,3,2,22
경상북도 영천시 신녕면 완전리 852-100번지,1925,1,0,0,일반목구조,목조,단독주택,0,1925,36.03869862,128.7891542,5,0,0,5,2,5,93.06064105,1101.901527,4,2,23
경상북도 영천시 신녕면 완전리 852-101번지,20130125,1,0,4.5,경량철골구조,경량철골구조,단독주택,0,2013,36.0385875,128.7891732,2,0,0,5,2,2,98.01925911,1109.997116,4,2,17
경상북도 영천시 신녕면 완전리 852-102번지,19970709,1,0,0,벽돌구조,시멘트벽돌조,단독주택,0,1997,36.03844373,128.7891764,3,0,0,5,2,4,89.07105467,1118.984753,3,2,19
경상북도 영천시 신녕면 완전리 852-103번지,20181109,5,0,16,철근콘크리트구조,철근콘크리트구조,공동주택,0,2018,36.0385221,128.7889726,1,4,0,5,2,0,92.80638649,1098.898128,4,2,18
경상북도 영천시 신녕면 완전리 852-105번지,20120328,1,0,6.1,철근콘크리트구조,철근콘크리트구조,단독주택,0,2012,36.0385019,128.7887926,2,0,0,5,2,0,89.5485476,1086.729226,3,2,14
경상북도 영천시 신녕면 완전리 852-107번지,19980624,1,0,0,벽돌구조,시멘트벽돌조,근린생활시설,0,1998,36.03872821,128.7888073,3,0,0,5,6,4,114.6874465,1073.878015,4,2,24
