일련번호,소화전 고유코드,모델구분,상태,위치명,위도,경도
1000012626,경주소방서 경주 동부 지상 20,소화용수시설 소화전(지상식),사용가,경상북도 경주시 서악동 1153 경주농기계임대사업소,35.82802963,129.1899567
1000012627,경주소방서 경주 동부 지상 21,소화용수시설 소화전(지상식),사용가,경상북도 경주시 서악동 824,35.82369232,129.1872559
1000012628,경주소방서 경주 동부 지상 22,소화용수시설 소화전(지상식),사용가,경상북도 경주시 사정동 471-7 ,35.83737564,129.2035522
1000012629,경주소방서 경주 동부 지상 23,소화용수시설 소화전(지상식),사용가,경상북도 경주시 충효동 2976 ,35.8435936,129.1842041
1000012630,경주소방서 경주 동부 지상 24,소화용수시설 소화전(지상식),사용가,경상북도 경주시 충효동 2997 공원,35.84268188,129.1869659
1000012631,경주소방서 경주 동부 지상 25,소화용수시설 소화전(지상식),사용가,경상북도 경주시 충효동 1600 재동마을회관,35.84525299,129.1629181
1000012632,경주소방서 경주 동부 지상 26,소화용수시설 소화전(지상식),사용가,경상북도 경주시 충효동 1622-2 ,35.84651871,129.1622728
1000012633,경주소방서 경주 동부 지상 27,소화용수시설 소화전(지상식),사용가,경상북도 경주시 충효동 923-1 충효야척마을회관,35.85776901,129.1607666
1000012634,경주소방서 경주 동부 지상 28,소화용수시설 소화전(지상식),사용가,경상북도 경주시 율동 1652 율동교회,35.8020401,129.181778
1000012635,경주소방서 경주 동부 지상 29,소화용수시설 소화전(지상식),사용가,경상북도 경주시 율동 1192 ,35.81449127,129.1726685
1000012609,경주소방서 경주 동부 지상 3,소화용수시설 소화전(지상식),철거,경상북도 경주시 동부동 136-11,35.84444046,129.2115631
1000012636,경주소방서 경주 동부 지상 30,소화용수시설 소화전(지상식),사용가,경상북도 경주시 율동 951-7 ,35.81188965,129.1721954
1000012637,경주소방서 경주 동부 지상 31,소화용수시설 소화전(지상식),사용가,경상북도 경주시 효현동 70-1 소티마을회관,35.81514359,129.1857758
1000012638,경주소방서 경주 동부 지상 32,소화용수시설 소화전(지상식),사용가,경상북도 경주시 광명동 546-1,35.82726669,129.1394043
1000012639,경주소방서 경주 동부 지상 33,소화용수시설 소화전(지상식),사용가,경상북도 경주시 광명동 682 ,35.83053207,129.1410828
1000012640,경주소방서 경주 동부 지상 34,소화용수시설 소화전(지상식),사용가,경상북도 경주시 광명동 765 ,35.8344841,129.1409912
1000012641,경주소방서 경주 동부 지상 35,소화용수시설 소화전(지상식),사용가,경상북도 경주시 배동 1125-139,35.80774307,129.2119446
1000012642,경주소방서 경주 동부 지상 36,소화용수시설 소화전(지상식),사용가,경상북도 경주시 효현동 482-3,35.82617188,129.167923
1000012643,경주소방서 경주 동부 지상 37,소화용수시설 소화전(지상식),사용가,경상북도 경주시 석장동 1193 송화촌 식당,35.84981918,129.195282
1000012684,경주소방서 경주 동부 지상 38,소화용수시설 소화전(지상식),사용가,경상북도 경주시 북부동 42 ,35.84827805,129.2109222
1000012644,경주소방서 경주 동부 지상 39,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 620-591 ,35.85669708,129.2032318
1000012610,경주소방서 경주 동부 지상 4,소화용수시설 소화전(지상식),사용가,경상북도 경주시 서부동 31-2 ,35.84866714,129.2099762
1000012649,경주소방서 경주 동부 지상 40,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 635-24 ,35.85421753,129.2121124
1000012650,경주소방서 경주 동부 지상 41,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 261 ,35.84487534,129.2046967
1000012715,경주소방서 경주 동부 지상 42,소화용수시설 소화전(지상식),사용가,경상북도 경주시 사정동 47-23 ,35.83676529,129.2076416
1000012721,경주소방서 경주 동부 지상 43,소화용수시설 소화전(지상식),사용가,경상북도 경주시 사정동 474-10 ,35.83789825,129.2049408
1000012668,경주소방서 경주 동부 지상 44,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 697-6 ,35.85312653,129.2066956
1000012670,경주소방서 경주 동부 지상 45,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 692-4 ,35.85303783,129.2040347
1000012696,경주소방서 경주 동부 지상 46,소화용수시설 소화전(지상식),사용가,경상북도 경주시 노서동 177-15 ,35.84157181,129.2041931
1000012659,경주소방서 경주 동부 지상 47,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 585 ,35.85549927,129.204895
1000013725,경주소방서 경주 동부 지상 48,소화용수시설 소화전(지상식),사용가,경상북도 경주시 노동동 12 ,35.84064865,129.2117462
1000012647,경주소방서 경주 동부 지상 49,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 627-1 ,35.85491562,129.2085724
1000012611,경주소방서 경주 동부 지상 5,소화용수시설 소화전(지상식),사용가,경상북도 경주시 북부동 127-1 ,35.84725952,129.2101288
1000012673,경주소방서 경주 동부 지상 50,소화용수시설 소화전(지상식),사용가,경상북도 경주시 성건동 456-3 ,35.84752655,129.2049408
1000012702,경주소방서 경주 동부 지상 51,소화용수시설 소화전(지상식),사용가,경상북도 경주시 황남동 276-3 ,35.83845139,129.2098694
1000012703,경주소방서 경주 동부 지상 52,소화용수시설 소화전(지상식),사용가,경상북도 경주시 황남동 278-4 ,35.83753204,129.2097931
1000012704,경주소방서 경주 동부 지상 53,소화용수시설 소화전(지상식),사용가,경상북도 경주시 사정동 41 ,35.83655548,129.2092896
